File Date,11/30/2017
NPA_ID,type_of_code,        ASSIGNABLE,EXPLANATION,RESERVED,ASSIGNED,ASSIGNMENT_DT,USE,LOCATION,COUNTRY,IN_SERVICE,IN_SERVICE_DT,STATUS,PLANNING_LETTERS,"NOTES",OVERLAY,OVERLAY_COMPLEX,PARENT_NPA_ID,SERVICE,TIME_ZONE,AREA_SERVED,MAP,IN_JEOPARDY,RELIEF_PLANNING_IN_PROGRESS,HOME_NPA_LOCAL_CALLS,HOME_NPA_TOLL_CALLS,FOREIGN_NPA_LOCAL_CALLS,FOREIGN_NPA_TOLL_CALLS,PERM_HNPA_LOCAL_CALLS,PERM_HNPA_TOLL_CALLS,PERM_HNPA_FOREIGN_LOCAL_CALLS,"DIALING_PLAN_NOTES"
228,General Purpose Code,Yes,,No,Yes,31-JUL-97,G,MS,US,Y,15-SEP-97,,079,"",No,,601,,C,,,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,""
229,General Purpose Code,Yes,,No,Yes,01-OCT-99,G,GA,US,Y,01-AUG-00,,288 202,"",No,,912,,E,,,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,""
230,General Purpose Code,Yes,,Yes,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
231,General Purpose Code,Yes,,No,Yes,11-MAR-99,G,MI,US,Y,05-JUN-99,,167,"",No,,616,,E,,,No,No,7D,1+10D,10D,1+10D,10D,NA,NA,""
232,General Purpose Code,Yes,,Yes,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
233,Easily Recognizable Code,Yes,,No,No,,N,,,N,,,,"",,,,,,,,,No,,,,,,,,""
234,General Purpose Code,Yes,,No,Yes,05-NOV-99,G,OH,US,Y,30-OCT-00,,213,"",Yes,234/330,330,,E,,213,No,No,10D,1+10D,10D,1+10D,1+10D,NA,NA,"Carriers must provide permissive 1+10D dialing for Foreign NPA Local Calls in areas where they provide optional EAS"
235,General Purpose Code,Yes,,Yes,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
236,General Purpose Code,Yes,,No,Yes,28-JUL-11,G,BRITISH COLUMBIA,CANADA,Y,01-JUN-13,,450 428,"",Yes,236/604/778 236/250/778,604,,P,,361,No,No,10D,1+10D,10D,1+10D,NA,NA,NA,""
237,General Purpose Code,Yes,,No,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
238,General Purpose Code,Yes,,Yes,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
239,General Purpose Code,Yes,,No,Yes,06-SEP-01,G,FL,US,Y,11-MAR-02,,307,"",No,,941,,E,,307,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,""
240,General Purpose Code,Yes,,No,Yes,21-JUN-96,G,MD,US,Y,01-JUN-97,,IL96/07-004 IL96/06-009,"",Yes,227/240/301,301,,E,,IL96/06-009,No,No,10D,1+10D,10D,1+10D,1+10D,NA,1+10D,""
241,General Purpose Code,Yes,,No,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
242,General Purpose Code,Yes,,No,Yes,,G,BAHAMAS,BAHAMAS,Y,01-OCT-96,,IL95/11-009,"",No,,809,,E,,,No,No,7D,1+10D,NA,1+10D,NA,NA,NA,""
243,General Purpose Code,Yes,,No,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
244,Easily Recognizable Code,Yes,,No,No,,N,,,N,,,,"",,,,,,,,,No,,,,,,,,""
245,General Purpose Code,Yes,,No,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
246,General Purpose Code,Yes,,No,Yes,,G,BARBADOS,BARBADOS,Y,01-JUL-96,,IL95/12-006,"",No,,809,,A,,,No,No,7D,1+10D,NA,1+10D,NA,NA,NA,""
247,General Purpose Code,Yes,,Yes,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
248,General Purpose Code,Yes,,No,Yes,08-NOV-96,G,MI,US,Y,10-MAY-97,,320 283 227 209 012,"",Yes,248/947,810,,E,,283,No,No,10D,1+10D,10D,1+10D,NA,NA,NA,""
249,General Purpose Code,Yes,,No,Yes,06-OCT-09,G,ONTARIO,CANADA,Y,19-MAR-11,,414 398R1 398,"",Yes,249/705,705,,E,,398,No,No,10D,1+10D,10D,1+10D,NA,NA,NA,""
250,General Purpose Code,Yes,,No,Yes,,G,BRITISH COLUMBIA,CANADA,Y,19-OCT-96,,450 428 361 IL95/08-007 IL96/02-007,"",Yes,236/250/778,604,,P,,,No,No,10D,1+10D,10D,1+10D,NA,NA,NA,""
251,General Purpose Code,Yes,,No,Yes,03-OCT-00,G,AL,US,Y,18-JUN-01,,254,"",No,,334,,C,,254,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,"Other dialing plans may apply at the discretion of the local service provider."
252,General Purpose Code,Yes,,No,Yes,27-FEB-98,G,NC,US,Y,22-MAR-98,,114 112,"",No,,919,,E,,,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,""
253,General Purpose Code,Yes,,No,Yes,31-OCT-96,G,WA,US,Y,27-APR-97,,492 298 239 019,"",No,,206,,P,,,No,No,10D,1+10D,10D,1+10D,10D,NA,1+10D,""
254,General Purpose Code,Yes,,No,Yes,,G,TX,US,Y,25-MAY-97,,064 034,"",No,,817,,C,,,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,""
255,Easily Recognizable Code,Yes,,No,No,,N,,,N,,,,"",,,,,,,,,No,,,,,,,,""
256,General Purpose Code,Yes,,No,Yes,10-OCT-97,G,AL,US,Y,23-MAR-98,Active,389 114 110,"",Yes,256/938,205,,C,,,No,Yes,10D,1+10D,10D,1+10D,1+10D,NA,1+10D,""
257,General Purpose Code,Yes,,Yes,No,,G,,CANADA,N,,,,"",No,,,,,,,No,No,,,,,,,,""
258,General Purpose Code,Yes,,Yes,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
259,General Purpose Code,Yes,,Yes,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
260,General Purpose Code,Yes,,No,Yes,20-JUN-01,G,IN,US,Y,15-JAN-02,,309 296,"",No,,219,,E,,309,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,""
261,General Purpose Code,Yes,,Yes,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
262,General Purpose Code,Yes,,No,Yes,19-MAR-99,G,WI,US,Y,25-SEP-99,Active,174,"",No,,414,,C,,,No,Yes,7D,1+10D,1+10D,1+10D,NA,NA,NA,""
263,General Purpose Code,Yes,,Yes,No,,G,,CANADA,N,,,,"",No,,,,,,,No,No,,,,,,,,""
264,General Purpose Code,Yes,,No,Yes,,G,ANGUILLA,ANGUILLA,Y,31-MAR-97,,015,"",No,,809,,A,,,No,No,7D,1+10D,NA,1+10D,4D,NA,NA,""
265,General Purpose Code,Yes,,Yes,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
266,Easily Recognizable Code,Yes,,No,No,,N,,,N,,,,"",,,,,,,,,No,,,,,,,,""
267,General Purpose Code,Yes,,No,Yes,31-JUL-98,G,PA,US,Y,01-JUL-99,Active,499 332 274 267 237 134,"",Yes,215/267/445,215,,E,,499,No,Yes,10D,10D,NA,1+10D,1+10D,NA,1+10D,"All calls within and between the 215 and 267 and 484 and 610 NPAs can be dialed as 10D or 1+10D.  Calls to other NPAs must be dialed as 1+10D."
268,General Purpose Code,Yes,,No,Yes,,G,ANTIGUA/BARBUDA,ANTIGUA/BARBUDA,Y,01-APR-96,,IL96/03-005,"",No,,809,,A,,,No,No,7D,1+10D,NA,1+10D,4D,NA,NA,""
269,General Purpose Code,Yes,,No,Yes,05-JUN-01,G,MI,US,Y,13-JUL-02,,324 294,"",No,,616,,E,,294,No,No,7D,1+10D,10D,1+10D,10D,NA,NA,""
270,General Purpose Code,Yes,,No,Yes,01-FEB-99,G,KY,US,Y,19-APR-99,,449 415 408 391 376 371 365 155,"",Yes,270/364,502,,EC,,449,No,No,10D,1+10D,10D,1+10D,1+10D,NA,1+10D,""
271,General Purpose Code,Yes,,Yes,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
